clean_sheets,clean_sheets_away,clean_sheets_home,cs_pct,cs_pct_away,cs_pct_home,defense_overperform,defense_profile,friction_base,ga_0_15,ga_16_30,ga_1h,ga_2h,ga_31_45,ga_46_60,ga_61_75,ga_76_90,ga_away,ga_corner,ga_free_kick,ga_home,ga_leading_1,ga_leading_2plus,ga_level,ga_losing_1,ga_losing_2plus,ga_open_play,ga_outside_box,ga_penalty,ga_penalty_area,ga_per_90,ga_per_90_away,ga_per_90_home,ga_set_piece,ga_set_piece_total,ga_six_yard,ga_total,home_away_defense_profile,league,matches_away,matches_home,matches_played,scraped_at,season,set_piece_profile,set_piece_vuln_pct,shots_ag_0_15,shots_ag_16_30,shots_ag_31_45,shots_ag_46_60,shots_ag_61_75,shots_ag_76_90,shots_ag_outside_box,shots_ag_penalty_area,shots_ag_six_yard,team_name,team_understat,timing_profile,xga_0_15,xga_16_30,xga_1h,xga_1h_pct,xga_2h,xga_2h_pct,xga_31_45,xga_46_60,xga_61_75,xga_76_90,xga_away,xga_corner,xga_first_15_pct,xga_free_kick,xga_home,xga_last_15_pct,xga_leading_1,xga_leading_2plus,xga_level,xga_losing_1,xga_losing_2plus,xga_open_play,xga_outside_box,xga_penalty,xga_penalty_area,xga_per_90,xga_per_90_away,xga_per_90_home,xga_set_piece,xga_set_piece_total,xga_six_yard,xga_total,xga_total_timing
8,3,5,53.333333333333336,37.5,71.42857142857143,2.903026200000001,FORTRESS,0.9,1,0,4,2,3,2,0,0,7,2,1,2,1,1,7,0,0,5,2,0,6,0.6,0.875,0.2857142857142857,1,4,1,9,HOME_FORTRESS,EPL,8,7,15,2025-12-08T19:16:40.802136,2025/2026,SP_VULNERABLE,30.08627476199977,15,19,14,17,16,0,34,72,10,Arsenal,Arsenal,SLOW_STARTER+FIRST_HALF_WEAK,2.0846241442486644,1.4964241748675704,5.322220988571644,66.88903154484488,2.634570828638971,33.110968455155124,1.741172669455409,1.0590138109400868,1.575557017698884,0,8.496018000000001,2.0886751748621464,26.19930484720743,0.20327021926641464,3.4070082,0.0,2.793552349321544,1.2404784839600325,7.303665351122618,0.9889072775840759,0,8.617987675592303,1.1868977854028344,0.0,7.347197029739618,0.7935350800000001,1.0620022500000001,0.48671545714285713,1.416670392267406,3.708615786395967,3.7925086468458176,11.903026200000001,7.956791817210615
5,1,4,33.33333333333333,14.285714285714285,50.0,7.139444000000001,AVERAGE,0.5,5,2,8,4,1,2,2,0,9,4,0,6,2,2,7,3,1,9,1,1,7,1.0,1.2857142857142858,0.75,1,5,6,15,BALANCED_DEFENSE,EPL,7,8,15,2025-12-08T19:16:41.615852,2025/2026,SP_VULNERABLE,30.273087700172724,32,24,25,33,28,0,62,110,19,Aston Villa,Aston_Villa,SLOW_STARTER+FIRST_HALF_WEAK,6.7113743256777525,4.553258638828993,13.76570885349065,69.92222585455458,5.921463122591376,30.077774145445417,2.5010758889839053,3.469128825701773,2.452334296889603,0,10.755132,4.765300264582038,34.090088377504955,0.2914654202759266,11.384312,0.0,3.9584231339395046,2.2885290179401636,13.289799169171602,3.070313800126314,1.089465208351612,15.00052124587819,2.4428074075840414,1.5223376750946045,13.91006254311651,1.4759629333333335,1.5364474285714285,1.423039,2.116905723698437,7.173671408556402,6.343660378828645,22.139444,19.687171976082027
5,1,4,33.33333333333333,14.285714285714285,50.0,-4.786903999999996,SOLID,0.7,1,3,10,8,6,4,4,0,19,5,1,5,5,2,10,5,2,13,4,2,16,1.6,2.7142857142857144,0.625,3,9,4,24,HOME_FORTRESS,EPL,7,8,15,2025-12-08T19:16:42.416302,2025/2026,SP_SOLID,19.05021451050341,21,28,23,35,24,0,53,108,9,Bournemouth,Bournemouth,FIRST_HALF_WEAK,1.401232353411615,4.213075679726899,9.366668282076716,61.1107168636835,5.960705970413983,38.8892831363165,3.752360248938203,2.755162718705833,3.20554325170815,0,14.653220000000001,2.3605442587286234,9.142024787343562,0.29017551615834236,4.559876,0.0,3.6385216526687145,2.1451595220714808,8.291243088431656,3.907065160572529,1.3500783955678344,14.126966531388462,1.7447332302108407,1.522300899028778,15.042784915305674,1.280873066666667,2.093317142857143,0.5699845,1.0320806140080094,3.682800388894975,2.5445496737957,19.213096000000004,15.3273742524907
2,1,1,13.333333333333334,12.5,14.285714285714285,-3.6313899999999997,AVERAGE,0.5,3,4,11,6,4,5,1,0,16,1,0,8,5,3,10,5,1,20,2,2,16,1.6,2.0,1.1428571428571428,1,2,4,24,BALANCED_DEFENSE,EPL,8,7,15,2025-12-08T19:16:43.208530,2025/2026,SP_FORTRESS,7.988078775815306,31,35,29,33,26,0,71,96,12,Brentford,Brentford,CONSISTENT,3.057673877105117,5.299275025725365,11.145728294737637,57.08014517160148,8.380725713446736,42.91985482839852,2.7887793919071555,4.956758470274508,3.4239672431722283,0,11.878517,1.4558084513992071,15.65913542634784,0.15470672026276588,8.490093,0.0,6.836984600871801,2.9368280796334147,4.869406174868345,6.2246318608522415,2.642723903991282,19.349024886265397,2.040582458488643,2.2835065126419067,14.561612214893103,1.3579073333333334,1.484814625,1.2128704285714285,0.2675280496478081,1.878043221309781,4.908379946835339,20.36861,19.526454008184373
3,2,1,20.0,28.57142857142857,12.5,1.3359789999999983,AVERAGE,0.5,0,6,10,7,4,5,2,0,10,2,0,11,4,2,10,4,1,16,4,2,7,1.4,1.4285714285714286,1.375,1,3,8,21,BALANCED_DEFENSE,EPL,7,8,15,2025-12-08T19:16:44.019092,2025/2026,SP_SOLID,22.3282125228049,20,28,28,33,23,0,56,98,20,Brighton,Brighton,FIRST_HALF_WEAK,1.5484443120658398,4.930293088778853,10.405572158284485,60.25367074245291,6.864034871570766,39.74632925754709,3.926834757439792,5.3782752668485045,1.4857596047222614,0,9.401145999999999,2.8917461978271604,8.966297318687849,0.2535279355943203,12.934833,0.0,5.052380182780325,2.3276099637150764,11.383991884998977,3.6510206842795014,2.066174140200019,16.731461146846414,1.788168060593307,2.2835065126419067,12.411586374044418,1.4890652666666666,1.343020857142857,1.616854125,2.3209350630640984,5.466209196485579,8.281422421336174,22.335979,17.26960702985525
2,0,2,13.333333333333334,0.0,28.57142857142857,4.338445999999998,SIEVE,0.1,4,3,12,8,5,5,3,0,23,5,0,7,2,1,16,8,3,19,1,5,18,2.0,2.875,1.0,1,6,8,30,HOME_FORTRESS,EPL,8,7,15,2025-12-08T19:16:44.701533,2025/2026,SP_SOLID,23.378749844411743,35,26,41,44,41,0,82,131,28,Burnley,Burnley,SLOW_STARTER,6.132216897793114,3.7306703124195337,15.234625239856541,55.57937733097547,12.175946759060025,44.42062266902454,5.371738029643893,7.961797847412527,4.214148911647499,0,22.03474,6.551336148753762,22.37172175040892,0.41004298627376556,12.303705999999998,0.0,2.3468321040272713,2.5746252834796906,17.73144815210253,11.790237627923489,3.0713763032108545,24.938249620608985,2.7703118324279785,3.8058441877365112,21.488772590644658,2.2892297333333333,2.7543425,1.7576722857142855,1.8090465273708105,8.770425662398338,10.255435047671199,34.338446,27.410571998916566
7,4,3,46.666666666666664,50.0,42.857142857142854,4.181508999999998,SOLID,0.7,3,1,7,3,3,1,2,0,8,3,0,7,5,0,6,4,0,12,2,0,3,1.0,1.0,1.0,0,3,10,15,BALANCED_DEFENSE,EPL,8,7,15,2025-12-08T19:16:45.744094,2025/2026,SP_SOLID,21.98635677774093,31,16,20,23,23,0,51,79,20,Chelsea,Chelsea,CONSISTENT,2.5588936735875905,2.5360822128131986,7.652472539339215,52.13528251448998,7.025634435936809,47.86471748551002,2.5574966529384255,2.566083250567317,4.459551185369492,0,9.985888999999998,2.577599567361176,17.433403898049125,0.421032328158617,9.19562,0.0,5.623381657525897,2.951286295428872,7.662984065245837,2.3380229575559497,0.8514362843707204,15.155797266867012,1.7072742520831525,0.0,8.508842831477523,1.2787672666666665,1.2482361249999998,1.31366,1.2726820977404714,4.271313993260264,9.2109941765666,19.181509,14.678106975276023
7,4,3,46.666666666666664,50.0,42.857142857142854,7.402545,SOLID,0.7,1,0,4,5,3,3,2,0,5,2,0,7,6,0,5,1,0,6,1,1,8,0.8,0.625,1.0,3,5,3,12,BALANCED_DEFENSE,EPL,8,7,15,2025-12-08T19:16:46.528093,2025/2026,SP_VULNERABLE,25.09682189386376,21,21,18,38,32,0,50,91,23,Crystal Palace,Crystal_Palace,SLOW_STARTER,3.6545376386493444,1.8989247549325228,7.413210737518966,50.140010939286796,7.3718094462528825,49.8599890607132,1.859748343937099,3.4466508096084,3.9251586366444826,0,9.634471,3.1286539658904076,24.71784003826111,0.5661653429269791,9.768074,0.0,7.335496233776212,1.9898965675383806,9.689132177270949,1.3307013222947717,0.12521813809871674,14.571844619698822,1.8209758065640926,0.7611688375473022,11.26781796850264,1.293503,1.204308875,1.3954391428571429,1.4426116729155183,5.137430981732905,7.381650663912296,19.402545,14.785020183771849
6,2,4,40.0,28.57142857142857,50.0,4.637572999999996,AVERAGE,0.5,2,4,9,5,3,3,2,0,8,4,0,9,3,1,6,4,3,12,1,1,11,1.1333333333333333,1.1428571428571428,1.125,0,4,5,17,BALANCED_DEFENSE,EPL,7,8,15,2025-12-08T19:16:47.329296,2025/2026,SP_SOLID,22.54099430441352,24,27,33,39,28,0,59,115,20,Everton,Everton,CONSISTENT,1.8749693091958761,3.4912843322381377,8.468362983316183,55.198471584476884,6.873299095779657,44.801528415523116,3.1021093418821692,3.7968916511163116,3.076407444663346,0,10.955812000000002,3.7544611487537622,12.221422291334795,0.3535500466823578,10.681761000000002,0.0,4.291524003259838,1.572820563800633,8.610825990326703,3.226874191313982,4.0780663676559925,15.348319835029542,1.9689931022003293,1.5223376750946045,14.937066580168903,1.4425048666666664,1.5651160000000002,1.3352201250000002,0.8014424107968807,4.909453606233001,4.8740514339879155,21.637572999999996,15.34166207909584
3,0,3,20.0,0.0,37.5,-1.9218440000000037,AVERAGE,0.5,0,4,7,11,3,11,0,0,14,6,0,10,2,1,13,5,3,16,3,2,12,1.6,2.0,1.25,0,6,7,24,HOME_FORTRESS,EPL,7,8,15,2025-12-08T19:16:48.064940,2025/2026,SP_VULNERABLE,27.01761671807289,22,17,29,40,23,0,50,86,28,Fulham,Fulham,SECOND_HALF_WEAK,2.5615534503012896,1.5574722858145833,7.272683882154524,39.02958122581783,11.361089921556413,60.97041877418218,3.1536581460386515,9.707326400093734,1.653763521462679,0,12.6909,5.511041454970837,13.746831303657627,0.27548523992300034,9.387256,0.0,1.6730862529948354,0.5626709656789899,13.870383078232408,5.3964020404964685,2.7726755840703845,15.43312607333064,1.5828978270292282,2.2835065126419067,12.540890205651522,1.4718770666666665,1.8129857142857142,1.173407,0.7720586406067014,6.558585335500538,8.151429888792336,22.078155999999996,18.633773803710938
