feature,win_mean,loss_mean,diff,effect_size,p_value,correlation,significance
implied_prob,0.5525,0.4105,0.1421,0.933,0.0,0.4186,***
odds_taken,1.6412,2.6587,-1.0175,0.609,0.0,-0.2925,***
ev_expected,0.1654,0.834,-0.6686,0.501,0.0,-0.2284,***
diamond_score,50.1885,38.6583,11.5301,0.375,0.0,0.1843,***
predicted_prob,0.5868,0.5272,0.0596,0.297,0.0008,0.1463,***
edge_pct,1.1568,4.6177,-3.461,0.242,0.0,-0.1201,***
hours_before_match,50.4619,44.0338,6.4281,0.202,0.0311,0.1005,*
home_power,41.3696,41.7853,-0.4157,0.027,0.5754,-0.0135,
home_win_rate,41.4761,42.3882,-0.9122,0.026,0.5714,-0.0131,
away_power,45.9935,46.4204,-0.4269,0.025,0.7,-0.0126,
context_score,52.7423,53.0812,-0.3389,0.024,0.6147,-0.012,
away_win_rate,17.8817,18.3323,-0.4506,0.021,0.6581,-0.0106,
reality_score,48.6534,48.7987,-0.1453,0.016,0.7289,-0.0082,
adjusted_confidence,48.6534,48.7987,-0.1453,0.016,0.7289,-0.0082,
system_confidence,48.6534,48.7987,-0.1453,0.016,0.7289,-0.0082,
tier_difference,-0.3489,-0.3404,-0.0085,0.008,0.8626,-0.0041,
class_score,44.9715,45.0779,-0.1064,0.007,0.8827,-0.0035,
home_strength,54.385,54.2968,0.0882,0.004,0.9271,0.002,
got_value,0.0009,0.0009,-0.0,0.001,0.9876,-0.0003,
data_quality_score,100.0,100.0,0.0,0.0,,,
