id,match_id,league,market_type,prediction,odds_taken,closing_odds,clv_percentage,diamond_score,edge_pct,ev_expected,is_winner,profit_loss,source,created_at,implied_prob,predicted_prob,hours_before_match,data_quality_score,model_uncertainty,steam_move,odds_movement,league_tier,match_importance,reality_score,class_score,context_score,home_tier,away_tier,tier_difference,convergence_status,system_confidence,adjusted_confidence,reality_check_correct,home_form,home_pressing,home_style,home_win_rate,home_draw_rate,home_strength,away_form,away_pressing,away_style,away_win_rate,home_tier_class,home_power,home_big_game,away_tier_class,away_power,away_big_game,got_value,line_movement_pct
14621,9b55f146c24d7a8216acf1a953ddfaee,,draw,draw,2.88,,,34,1.75,,True,1.88,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-63.7,1,,57.0,50.0,75.0,B,B,0.0,partial_convergence,57.0,57.0,False,neutral,medium,balanced,14.29,71.43,14.0,neutral,medium,defensive,0.0,C,34.0,1.0,C,44.8,1.0,0,
14452,248d5eacb736342623dd3ae392bae7c6,,dc_12,dc_12,1.36,,,68,5.46,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-9.8,1,,,,,,,,,,,,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,50.0,D,34.0,1.0,,,,0,
14451,248d5eacb736342623dd3ae392bae7c6,,btts_yes,btts_yes,1.64,,,78,13.16,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-9.8,1,,,,,,,,,,,,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,50.0,D,34.0,1.0,,,,0,
14450,248d5eacb736342623dd3ae392bae7c6,,over_25,over_25,1.78,,,82,19.24,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-9.8,1,,,,,,,,,,,,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,50.0,D,34.0,1.0,,,,0,
14584,8519adbb67cc79b5cb8743fa9878d8f6,,over_25,over_25,2.04,,,25,-5.61,,True,1.04,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,0.0,1,,,,,,,,,,,,neutral,medium,balanced,,,50.0,neutral,medium,balanced,,,,,,,,0,
14666,b61916f65e2721cd0c65c7ddbc4c8d5b,,over_25,over_25,1.88,,,24,-9.78,,True,0.88,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-2.7,1,,,,,,,,,,,,neutral,medium,balanced,,,50.0,neutral,medium,balanced,,,,,,,,0,
14665,b61916f65e2721cd0c65c7ddbc4c8d5b,,btts_yes,btts_yes,1.73,,,26,-9.99,,True,0.73,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-2.7,1,,,,,,,,,,,,neutral,medium,balanced,,,50.0,neutral,medium,balanced,,,,,,,,0,
14663,b61916f65e2721cd0c65c7ddbc4c8d5b,,dc_x2,dc_x2,1.1,,,34,-37.61,,True,0.1,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-2.7,1,,,,,,,,,,,,neutral,medium,balanced,,,50.0,neutral,medium,balanced,,,,,,,,0,
14662,b61916f65e2721cd0c65c7ddbc4c8d5b,,dc_12,dc_12,1.21,,,42,-9.46,,True,0.21,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-2.7,1,,,,,,,,,,,,neutral,medium,balanced,,,50.0,neutral,medium,balanced,,,,,,,,0,
14620,9b55f146c24d7a8216acf1a953ddfaee,,home,home,1.91,,,35,-3.2,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-63.7,1,,57.0,50.0,75.0,B,B,0.0,partial_convergence,57.0,57.0,False,neutral,medium,balanced,14.29,71.43,14.0,neutral,medium,defensive,0.0,C,34.0,1.0,C,44.8,1.0,0,
14619,9b55f146c24d7a8216acf1a953ddfaee,,dc_12,dc_12,1.25,,,38,-16.47,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-63.7,1,,57.0,50.0,75.0,B,B,0.0,partial_convergence,57.0,57.0,False,neutral,medium,balanced,14.29,71.43,14.0,neutral,medium,defensive,0.0,C,34.0,1.0,C,44.8,1.0,0,
14618,9b55f146c24d7a8216acf1a953ddfaee,,dc_1x,dc_1x,1.15,,,60,-1.33,,True,0.15,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-63.7,1,,57.0,50.0,75.0,B,B,0.0,partial_convergence,57.0,57.0,False,neutral,medium,balanced,14.29,71.43,14.0,neutral,medium,defensive,0.0,C,34.0,1.0,C,44.8,1.0,0,
14617,9b55f146c24d7a8216acf1a953ddfaee,,btts_no,btts_no,1.91,,,84,27.89,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-63.7,1,,57.0,50.0,75.0,B,B,0.0,partial_convergence,57.0,57.0,False,neutral,medium,balanced,14.29,71.43,14.0,neutral,medium,defensive,0.0,C,34.0,1.0,C,44.8,1.0,0,
14616,9b55f146c24d7a8216acf1a953ddfaee,,under_25,under_25,1.77,,,86,28.05,,True,0.77,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-63.7,1,,57.0,50.0,75.0,B,B,0.0,partial_convergence,57.0,57.0,False,neutral,medium,balanced,14.29,71.43,14.0,neutral,medium,defensive,0.0,C,34.0,1.0,C,44.8,1.0,0,
14661,b61916f65e2721cd0c65c7ddbc4c8d5b,,home,home,5.75,,,57,29.3,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-2.7,1,,,,,,,,,,,,neutral,medium,balanced,,,50.0,neutral,medium,balanced,,,,,,,,0,
14660,b61916f65e2721cd0c65c7ddbc4c8d5b,,under_25,under_25,2.06,,,58,8.05,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-2.7,1,,,,,,,,,,,,neutral,medium,balanced,,,50.0,neutral,medium,balanced,,,,,,,,0,
14658,b61916f65e2721cd0c65c7ddbc4c8d5b,,dc_1x,dc_1x,2.32,,,78,30.39,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-2.7,1,,,,,,,,,,,,neutral,medium,balanced,,,50.0,neutral,medium,balanced,,,,,,,,0,
14491,42bdb04e5b87b0cc8e89ee0137469616,,under_25,under_25,2.8,,,9,-15.72,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-3.1,1,,50.0,50.0,50.0,A,A,0.0,strong_convergence,50.0,50.0,True,neutral,medium,offensive,90.91,0.0,90.0,neutral,medium,balanced,,A,89.6,1.15,,,,0,
14490,42bdb04e5b87b0cc8e89ee0137469616,,dc_x2,dc_x2,2.07,,,11,-31.53,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-3.1,1,,50.0,50.0,50.0,A,A,0.0,strong_convergence,50.0,50.0,True,neutral,medium,offensive,90.91,0.0,90.0,neutral,medium,balanced,,A,89.6,1.15,,,,0,
14668,b9aa270332a686385631824d477fd3b5,,btts_no,btts_no,2.14,,,74,16.74,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-18.8,1,,53.0,50.0,60.0,B,B,0.0,strong_convergence,53.0,53.0,False,neutral,medium,offensive,57.14,14.29,57.0,neutral,medium,balanced,50.0,C,37.0,1.0,,,,0,
14669,b9aa270332a686385631824d477fd3b5,,dc_1x,dc_1x,1.03,,,48,-8.68,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-18.8,1,,53.0,50.0,60.0,B,B,0.0,strong_convergence,53.0,53.0,False,neutral,medium,offensive,57.14,14.29,57.0,neutral,medium,balanced,50.0,C,37.0,1.0,,,,0,
14670,b9aa270332a686385631824d477fd3b5,,under_25,under_25,1.75,,,47,1.06,,False,-1.0,v5_enhanced,2025-12-01 00:15:07.317766,,,,,,False,-18.8,1,,53.0,50.0,60.0,B,B,0.0,strong_convergence,53.0,53.0,False,neutral,medium,offensive,57.14,14.29,57.0,neutral,medium,balanced,50.0,C,37.0,1.0,,,,0,
